date,New Deaths,7-Day Moving Avg
Jan 7 2021,4179,2794
Jan 6 2021,3812,2670
Jan 5 2021,3580,2663
Jan 4 2021,1844,2642
Jan 31 2021,1958,3138
Jan 31 2020,0,0
Jan 30 2021,2872,3134
Jan 30 2020,0,0
Jan 3 2021,1388,2632
Jan 29 2021,3557,3212
Jan 29 2020,0,0
Jan 28 2021,3818,3264
Jan 28 2020,0,0
Jan 27 2021,4074,3297
Jan 27 2020,0,0
Jan 26 2021,3737,3342
Jan 26 2020,0,0
Jan 25 2021,1956,3141
Jan 25 2020,0,0
Jan 24 2021,1928,3099
Jan 24 2020,0,0
Jan 23 2021,3414,3093
Jan 23 2020,0,0
Jan 22 2021,3922,3114
Jan 22 2020,0,0
Jan 21 2021,4048,3076
Jan 20 2021,4394,3062
Jan 2 2021,2285,2634
Jan 19 2021,2328,3023
Jan 18 2021,1664,3282
Jan 17 2021,1885,3333
Jan 16 2021,3563,3362
Jan 15 2021,3653,3345
Jan 14 2021,3948,3345
Jan 13 2021,4125,3378
Jan 12 2021,4136,3333
Jan 11 2021,2022,3254
Jan 10 2021,2092,3228
Jan 1 2021,2475,2490
Feb 9 2021,2847,3023
Feb 9 2020,0,0
Feb 8 2021,1629,3111
Feb 8 2020,0,0
Feb 7 2021,1463,3121
Feb 7 2020,0,0
Feb 6 2021,2808,3192
Feb 6 2020,0,0
Feb 5 2021,3539,3201
Feb 5 2020,0,0
Feb 4 2021,5147,3203
Feb 4 2020,0,0
Feb 3 2021,3730,3014
Feb 3 2020,0,0
Feb 29 2020,1,0
Feb 28 2021,1031,2048
Feb 28 2020,0,0
Feb 27 2021,1821,2080
Feb 27 2020,0,0
Feb 26 2021,2101,2119
Feb 26 2020,0,0
Feb 25 2021,3213,2179
Feb 25 2020,0,0
Feb 24 2021,2431,2062
Feb 24 2020,0,0
Feb 23 2021,2152,2081
Feb 23 2020,0,0
Feb 22 2021,1589,1976
Feb 22 2020,0,0
Feb 21 2021,1254,1921
Feb 21 2020,0,0
Feb 20 2021,2096,1923
Feb 20 2020,0,0
Feb 2 2021,3461,3063
Feb 2 2020,0,0
Feb 19 2021,2521,2099
Feb 19 2020,0,0
Feb 18 2021,2391,2525
Feb 18 2020,0,0
Feb 17 2021,2568,2688
Feb 17 2020,0,0
Feb 16 2021,1414,2841
Feb 16 2020,0,0
Feb 15 2021,1205,3045
Feb 15 2020,0,0
Feb 14 2021,1266,3106
Feb 14 2020,0,0
Feb 13 2021,3334,3134
Feb 13 2020,0,0
Feb 12 2021,5501,3059
Feb 12 2020,0,0
Feb 11 2021,3530,2779
Feb 11 2020,0,0
Feb 10 2021,3637,3010
Feb 10 2020,0,0
Feb 1 2021,1702,3102
Feb 1 2020,0,0
Dec 9 2020,3401,2322
Dec 8 2020,2590,2229
Dec 7 2020,1539,2210
Dec 6 2020,1103,2168
Dec 5 2020,2319,2140
Dec 4 2020,2430,1984
Dec 31 2020,3308,2366
Dec 30 2020,3767,2299
Dec 3 2020,2873,1819
Dec 29 2020,3427,2256
Dec 28 2020,1777,2222
Dec 27 2020,1399,2218
Dec 26 2020,1277,2243
Dec 25 2020,1613,2438
Dec 24 2020,2837,2602
Dec 23 2020,3468,2688
Dec 22 2020,3183,2685
Dec 21 2020,1749,2657
Dec 20 2020,1580,2662
Dec 2 2020,2752,1610
Dec 19 2020,2642,2640
Dec 18 2020,2761,2590
Dec 17 2020,3436,2624
Dec 16 2020,3444,2530
Dec 15 2020,2990,2524
Dec 14 2020,1781,2467
Dec 13 2020,1427,2433
Dec 12 2020,2297,2386
Dec 11 2020,2993,2389
Dec 10 2020,2784,2309
Dec 1 2020,2454,1543
Aug 9 2020,574,1056
Aug 8 2020,1061,1043
Aug 7 2020,1353,1052
Aug 6 2020,1240,1056
Aug 5 2020,1317,1050
Aug 4 2020,1093,1065
Aug 31 2020,447,918
Aug 30 2020,491,913
Aug 3 2020,756,1077
Aug 29 2020,991,929
Aug 28 2020,977,929
Aug 27 2020,1145,952
Aug 26 2020,1231,939
Aug 25 2020,1150,966
Aug 24 2020,410,966
Aug 23 2020,599,979
Aug 22 2020,995,1002
Aug 21 2020,1134,1010
Aug 20 2020,1057,1027
Aug 2 2020,484,1133
Aug 19 2020,1417,1042
Aug 18 2020,1151,1051
Aug 17 2020,501,1062
Aug 16 2020,759,1074
Aug 15 2020,1057,1048
Aug 14 2020,1249,1048
Aug 13 2020,1164,1063
Aug 12 2020,1480,1074
Aug 11 2020,1229,1051
Aug 10 2020,585,1031
Aug 1 2020,1126,1147
Apr 9 2020,2275,1647
Apr 8 2020,1929,1455
Apr 7 2020,693,1309
Apr 6 2020,3158,1316
Apr 5 2020,1295,930
Apr 4 2020,1127,787
Apr 30 2020,2320,1937
Apr 3 2020,1053,690
Apr 29 2020,2550,1954
Apr 28 2020,2238,1847
Apr 27 2020,1339,1930
Apr 26 2020,1470,2120
Apr 25 2020,2020,2180
Apr 24 2020,1626,2144
Apr 23 2020,2437,2253
Apr 22 2020,1803,2188
Apr 21 2020,2815,2857
Apr 20 2020,2675,2788
Apr 2 2020,936,600
Apr 19 2020,1885,2476
Apr 18 2020,1767,2390
Apr 17 2020,2391,2412
Apr 16 2020,1985,2301
Apr 15 2020,6485,2342
Apr 14 2020,2329,1691
Apr 13 2020,491,1458
Apr 12 2020,1284,1839
Apr 11 2020,1925,1840
Apr 10 2020,1609,1726
Apr 1 2020,902,502
