date,state,tot_cases,new_case,tot_death,conf_death,new_death,total_vaccinations,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-29,PA,834048,9643,21462,,159,972742.0,777260.0,1.51,7.6,193432.0,6.07,15.42,45694.0,3569.0,0.493
2021-02-05,UT,352489,1216,1728,1679.0,17,376495.0,271345.0,2.52,11.74,80826.0,8.46,15.39,15053.0,4695.0,0.763
2021-01-29,HI,24942,104,404,,1,111165.0,89428.0,1.54,7.85,21736.0,6.32,16.02,3767.0,2661.0,0.49
2021-02-06,NM,177214,421,3386,,8,322611.0,240516.0,3.76,15.39,78774.0,11.47,17.4,10613.0,5061.0,0.884
2021-02-13,OH,937541,2799,16340,13898.0,1204,1613153.0,1200949.0,3.5,13.8,409487.0,10.27,19.81,52952.0,4530.0,0.6970000000000001
2021-02-03,HI,25343,68,411,,4,143686.0,115440.0,1.99,10.15,28245.0,8.15,17.88,6571.0,4641.0,0.568
2021-01-23,AS,3,0,0,,0,6831.0,5881.0,1.7,12.27,948.0,10.56,33.13,390.0,7003.0,0.37
2021-01-12,UT,309629,2146,1422,1386.0,26,95225.0,90613.0,0.14,2.97,4608.0,2.83,7.99,,,0.37200000000000005
2021-02-21,GA,985505,1758,16744,14633.0,2,1850856.0,1202374.0,5.74,17.43,609520.0,11.32,21.59,59020.0,5559.0,0.807
2021-03-02,TN,776337,644,11436,9195.0,15,1405604.0,921398.0,7.0,20.58,477719.0,13.49,28.92,37967.0,5560.0,0.7120000000000001
2021-02-04,NY,827433,4475,16594,,81,2060301.0,1576553.0,2.0,10.59,388798.0,8.1,17.36,61400.0,3156.0,0.61
2021-03-01,AS,4,0,0,,0,20338.0,12276.0,14.43,36.52,8037.0,22.04,52.88,217.0,3897.0,0.691
2021-01-30,TN,724742,2251,9574,7846.0,113,574142.0,416716.0,2.28,8.41,155936.0,6.1,14.63,21427.0,3138.0,0.575
2021-02-13,GA,962808,3823,15850,13961.0,142,1328795.0,987693.0,2.96,12.52,313961.0,9.3,19.03,32847.0,3094.0,0.6579999999999999
2021-02-16,AK,54736,454,285,,5,191008.0,129658.0,8.33,26.11,60964.0,17.72,37.12,5448.0,7447.0,0.703
2021-02-14,CO,413836,853,5824,5104.0,10,926807.0,631243.0,5.05,16.09,290991.0,10.96,21.02,28130.0,4885.0,0.7659999999999999
2021-02-07,NY,842972,4743,16863,,82,2336867.0,1722302.0,2.67,12.01,519101.0,8.85,17.37,65915.0,3388.0,0.6920000000000001
2021-02-26,CO,426198,1521,5940,5207.0,15,1323183.0,876277.0,7.63,22.98,439634.0,15.22,28.8,27248.0,4732.0,0.7979999999999999
2021-01-23,TN,705876,4029,8819,7322.0,42,424152.0,335823.0,1.28,6.21,87376.0,4.92,12.28,15528.0,2274.0,0.506
2021-02-09,IA,325583,675,5145,,35,351803.0,257459.0,2.87,11.15,90525.0,8.16,16.18,13183.0,4178.0,0.6890000000000001
2021-01-31,PR,94238,614,1836,1547.0,7,249394.0,193842.0,1.7,7.81,54276.0,6.07,16.62,9317.0,2917.0,0.47
2021-01-28,TX,2310952,18220,35639,,471,2107005.0,1731725.0,1.29,7.27,373624.0,5.97,12.12,80351.0,2771.0,0.6
2021-02-21,CO,420614,802,5892,5164.0,5,1202161.0,817009.0,6.57,20.88,378242.0,14.19,23.42,39336.0,6831.0,0.8909999999999999
2021-01-18,CO,376171,1190,5386,4699.0,7,,,,,,,,15225.0,2644.0,
2021-01-23,PR,91028,955,1773,1485.0,2,173242.0,136400.0,1.12,5.42,35705.0,4.27,11.63,8965.0,2807.0,0.466
2021-01-28,WV,118562,787,1983,,30,224604.0,173750.0,2.84,12.53,50843.0,9.7,15.53,8151.0,4548.0,0.807
2021-03-03,PA,938411,2577,24169,,69,2948581.0,2027556.0,7.12,23.03,911602.0,15.84,33.43,74736.0,5838.0,0.6890000000000001
2021-03-03,TX,2663414,7822,43563,,297,6191550.0,4001348.0,7.53,21.35,2182085.0,13.8,30.04,181084.0,6245.0,0.711
2021-01-23,UT,334889,1771,1582,1539.0,11,202729.0,175364.0,0.65,6.32,20697.0,5.47,10.66,9396.0,2931.0,0.593
2021-02-07,AR,306736,672,5076,,15,393445.0,300139.0,2.99,13.04,90308.0,9.95,17.9,12807.0,4244.0,0.7290000000000001
2021-01-16,HI,23604,156,317,,2,,,,,,,,4431.0,3130.0,
2021-02-03,TN,733216,1856,10033,8168.0,133,657819.0,463300.0,2.82,9.63,192674.0,6.78,15.28,24312.0,3560.0,0.63
2021-02-28,PA,931642,1945,24021,,21,2751844.0,1912757.0,6.49,21.5,830262.0,14.94,30.59,63574.0,4966.0,0.703
2021-02-09,OK,410733,1595,3910,3460.0,31,588207.0,432422.0,3.85,14.87,152243.0,10.93,18.97,20362.0,5146.0,0.784
2021-02-06,HI,25639,104,413,,0,179059.0,132701.0,2.62,12.65,37054.0,9.37,18.58,8365.0,5908.0,0.6809999999999999
2021-01-16,KS,256134,0,3502,,0,,,,,,,,6169.0,2118.0,
2021-01-17,AR,271122,944,4311,,18,,,,,,,,17892.0,5929.0,
2021-01-28,PA,824405,6036,21303,,198,856371.0,695656.0,1.24,6.69,159259.0,5.43,14.96,35849.0,2800.0,0.447
2021-03-05,OK,430041,959,4673,4089.0,24,1213040.0,767445.0,11.06,30.66,437663.0,19.39,43.76,29568.0,7472.0,0.7
2021-03-11,NM,187720,233,3845,,6,867690.0,563149.0,15.08,41.38,316298.0,26.86,47.57,17684.0,8434.0,0.87
2021-01-22,GA,853173,8374,13060,11670.0,171,603486.0,533665.0,0.56,5.68,59925.0,5.03,11.64,53169.0,5008.0,0.489
2021-01-23,OH,859841,5859,10680,9532.0,81,594924.0,535544.0,0.51,5.09,59153.0,4.58,10.55,27905.0,2387.0,0.48200000000000004
2021-03-09,TN,785242,1338,11588,9310.0,32,1667642.0,1064302.0,8.43,24.42,575734.0,15.58,34.34,37434.0,5481.0,0.711
2021-02-11,PA,884269,3978,22860,,115,1594474.0,1215755.0,2.92,12.45,373882.0,9.5,19.84,53677.0,4193.0,0.628
2021-03-05,AS,4,0,0,,0,21625.0,13386.0,14.74,38.83,8208.0,24.04,77.59,184.0,3304.0,0.5
2021-02-05,OH,914530,3683,11571,10270.0,62,1177237.0,936321.0,2.05,10.07,239651.0,8.01,16.27,47734.0,4084.0,0.619
2021-03-09,AR,325383,432,5357,,14,782750.0,501653.0,9.27,25.94,279815.0,16.62,38.39,15991.0,5299.0,0.6759999999999999
2021-02-16,FL,1803893,6165,29154,,220,3598996.0,2441429.0,5.28,16.76,1134793.0,11.37,21.41,123957.0,5771.0,0.7829999999999999
2021-02-10,AS,3,0,0,,0,13318.0,9818.0,6.27,23.91,3494.0,17.63,52.88,322.0,5782.0,0.452
2021-02-27,HI,26667,99,436,,2,370746.0,241336.0,9.12,26.18,129131.0,17.05,35.16,8288.0,5854.0,0.745
2021-01-14,CO,369177,2403,5316,4632.0,31,254706.0,209300.0,,4.42,,3.63,9.23,15139.0,2629.0,0.479
2021-01-24,TN,708717,2841,8859,7351.0,40,452042.0,354407.0,1.41,6.62,96619.0,5.19,12.28,17781.0,2604.0,0.539
2021-01-27,WV,117775,797,1953,,25,214926.0,169671.0,2.52,11.99,45244.0,9.47,15.53,8044.0,4488.0,0.772
2021-01-13,SD,104195,452,1604,1296.0,19,50712.0,42789.0,0.9,5.73,7921.0,4.84,9.99,2014.0,2277.0,0.574
2021-01-23,AR,282995,1613,4563,,14,201676.0,167788.0,1.05,6.68,31600.0,5.56,12.22,11048.0,3661.0,0.547
2021-01-13,UT,314817,5188,1449,1411.0,27,104036.0,98010.0,0.19,3.25,6021.0,3.06,8.3,8811.0,2748.0,0.391
2021-01-27,NY,784633,6081,15847,,118,1518697.0,1286705.0,1.09,7.81,212802.0,6.61,14.11,67458.0,3468.0,0.5529999999999999
2021-02-20,SD,111165,147,1859,1507.0,6,225848.0,152655.0,8.26,25.53,73029.0,17.26,30.18,10117.0,11436.0,0.846
2021-03-02,UT,371979,487,1949,1893.0,9,722301.0,406549.0,5.95,22.53,190682.0,12.68,27.43,15893.0,4957.0,0.821
2021-01-22,OH,853982,4278,10599,9464.0,81,545499.0,500557.0,0.38,4.67,44761.0,4.28,10.46,24296.0,2079.0,0.446
2021-03-04,HI,26852,55,438,,0,411264.0,257320.0,10.85,29.05,153655.0,18.17,40.35,8910.0,6293.0,0.72
2021-02-06,CO,404255,1541,5721,5010.0,17,694860.0,512024.0,3.11,12.07,178975.0,8.89,17.21,21358.0,3709.0,0.701
2021-01-17,SD,105544,266,1656,1342.0,23,,,,,,,,2082.0,2353.0,
2021-02-24,GA,994061,3240,17064,14882.0,137,1919262.0,1225659.0,6.15,18.08,653286.0,11.54,23.88,63689.0,5999.0,0.757
2021-02-05,HI,25535,91,413,,0,169713.0,126683.0,2.38,11.99,33726.0,8.95,18.57,8364.0,5907.0,0.6459999999999999
2021-01-29,NM,172798,1079,3248,,22,238755.0,189082.0,2.24,11.39,46878.0,9.02,15.16,10959.0,5226.0,0.7509999999999999
2021-01-17,GA,815995,6332,12296,11032.0,5,,,,,,,,20250.0,1907.0,
2021-03-02,MA,561563,117,16067,15859.0,37,1837816.0,1289202.0,7.89,26.66,543969.0,18.7,30.69,48248.0,7000.0,0.8690000000000001
2021-02-02,AS,3,0,0,,0,10761.0,9713.0,1.88,19.32,1046.0,17.44,33.13,349.0,6267.0,0.583
2021-01-21,NY,742538,8688,15184,,119,1116441.0,982183.0,0.62,5.74,120801.0,5.05,11.38,61124.0,3142.0,0.504
2021-02-20,GA,983747,3336,16742,14629.0,132,1786755.0,1181826.0,5.35,16.83,568299.0,11.13,21.59,65423.0,6162.0,0.78
2021-03-04,PR,101066,199,2056,1747.0,3,595224.0,376924.0,6.78,18.64,216614.0,11.8,36.71,12169.0,3810.0,0.508
2021-01-18,MA,461431,3224,13632,13424.0,52,,,,,,,,16562.0,2403.0,
2021-02-27,TX,2640209,11073,42739,,164,5394961.0,3581903.0,6.23,18.61,1806218.0,12.35,26.26,111466.0,3844.0,0.708
2021-03-04,AS,4,0,0,,0,21625.0,13386.0,14.74,38.83,8208.0,24.04,69.69,269.0,4830.0,0.557
2021-03-08,UT,375109,259,1977,1921.0,1,833714.0,483105.0,6.77,26.01,216903.0,15.07,30.98,20744.0,6470.0,0.8390000000000001
2021-03-06,PR,101632,305,2062,2062.0,3,611567.0,386791.0,6.99,19.15,223084.0,12.11,39.16,10497.0,3287.0,0.489
2021-01-18,OK,363059,1450,3047,2791.0,43,,,,,,,,12430.0,3141.0,
2021-01-28,HI,24838,94,403,,2,103944.0,84139.0,1.4,7.34,19804.0,5.94,16.01,3504.0,2475.0,0.45899999999999996
2021-03-11,NY,954005,3199,18335,,32,5840907.0,3892844.0,9.77,30.02,1899848.0,20.01,40.58,158585.0,8152.0,0.74
2021-02-01,OK,395881,1187,3614,3239.0,38,443581.0,360670.0,2.03,11.21,80231.0,9.11,15.03,16719.0,4225.0,0.746
2021-01-30,SD,108070,115,1775,1424.0,7,102847.0,74229.0,3.23,11.63,28547.0,8.39,14.77,3664.0,4142.0,0.787
2021-01-23,GA,862158,8985,13246,11798.0,186,604067.0,534161.0,0.56,5.69,59965.0,5.03,11.64,50358.0,4743.0,0.489
2021-02-01,TN,729187,1326,9753,7975.0,103,627911.0,447977.0,2.61,9.19,178248.0,6.56,14.63,23609.0,3457.0,0.629
2021-01-24,OH,864322,4481,10711,9555.0,31,647104.0,575488.0,0.61,5.54,71344.0,4.92,10.55,31907.0,2730.0,0.525
2021-01-26,TX,2273119,26274,34701,,307,1917896.0,1614648.0,1.04,6.61,301684.0,5.57,11.53,73415.0,2532.0,0.574
2021-01-27,OK,385601,2227,3434,3099.0,35,345144.0,296308.0,1.18,8.72,46596.0,7.49,14.39,13351.0,3374.0,0.606
2021-02-08,GA,943695,2704,15130,13361.0,38,1167738.0,923282.0,2.07,11.0,219840.0,8.7,15.9,33889.0,3192.0,0.6920000000000001
